Time,Setpoint,ProcessValue,Output,Mode,State,ErrorBits
2019-02-14T10:43:03.902Z,31,31.047452926635742,3.861489772796631,3,3,0
2019-02-14T10:43:09.416Z,31,31.42361068725586,7.760834693908691,3,3,0
2019-02-14T10:43:14.421Z,31,31.2210636138916,3.9303274154663086,3,3,0
2019-02-14T10:43:19.914Z,31,31.69849395751953,0.9210487604141235,3,3,0
2019-02-14T10:43:25.405Z,31,32.002315521240234,1.2781312465667725,3,3,0
2019-02-14T10:43:30.433Z,31,32.060184478759766,3.5985121726989746,3,3,0
2019-02-14T10:43:35.433Z,31,31.640625,2.629570245742798,3,3,0
2019-02-14T10:43:40.439Z,31,30.570022583007812,1.213904857635498,3,3,0
2019-02-14T10:43:45.443Z,31,30.541088104248047,0,3,3,0
2019-02-14T10:43:50.447Z,31,30.570022583007812,0,3,3,0
2019-02-14T10:43:55.460Z,31,31.365739822387695,0,3,3,0
2019-02-14T10:44:00.463Z,31,31.582754135131836,0,3,3,0
2019-02-14T10:44:05.466Z,31,31.2210636138916,0,3,3,0
2019-02-14T10:44:10.469Z,31,31.495948791503906,0,3,3,0
2019-02-14T10:44:15.499Z,31,31.770832061767578,2.281338691711426,3,3,0
2019-02-14T10:44:20.976Z,31,30.888309478759766,0,3,3,0
2019-02-14T10:44:26.101Z,31,28.68923568725586,19.362375259399414,3,3,0
2019-02-14T10:44:31.498Z,31,24.421295166015625,80.7765121459961,3,3,0
2019-02-14T10:44:37.017Z,31,24.985532760620117,100,3,3,0
2019-02-14T10:44:42.507Z,31,23.828125,100,3,3,0
2019-02-14T10:44:48.008Z,31,24.56597137451172,100,3,3,0
2019-02-14T10:44:53.021Z,31,24.52256965637207,100,3,3,0
2019-02-14T10:44:58.513Z,31,23.7991886138916,100,3,3,0
2019-02-14T10:45:04.172Z,31,24.247684478759766,100,3,3,0
2019-02-14T10:45:09.512Z,31,24.059606552124023,100,3,3,0
2019-02-14T10:45:14.521Z,31,23.900463104248047,100,3,3,0
2019-02-14T10:45:20.206Z,31,24.08854103088379,100,3,3,0
2019-02-14T10:45:25.524Z,31,23.813657760620117,100,3,3,0
2019-02-14T10:45:30.540Z,31,23.69791603088379,100,3,3,0
2019-02-14T10:45:36.217Z,31,24.04513931274414,100,3,3,0
2019-02-14T10:45:41.540Z,31,24.160879135131836,100,3,3,0
2019-02-14T10:45:46.547Z,31,24.247684478759766,100,3,3,0
2019-02-14T10:45:51.601Z,31,24.059606552124023,100,3,3,0
2019-02-14T10:45:57.050Z,31,23.321758270263672,100,3,3,0
2019-02-14T10:46:02.196Z,31,23.842592239379883,100,3,3,0
2019-02-14T10:46:07.578Z,31,24.710647583007812,100,3,3,0
2019-02-14T10:46:13.062Z,31,23.755786895751953,100,3,3,0
2019-02-14T10:46:18.209Z,31,23.668981552124023,100,3,3,0
2019-02-14T10:46:23.593Z,31,24.04513931274414,100,3,3,0
2019-02-14T10:46:29.078Z,31,23.91493034362793,100,3,3,0
2019-02-14T10:46:34.265Z,31,23.885995864868164,100,3,3,0
2019-02-14T10:46:39.608Z,31,24.348957061767578,100,3,3,0
